properties,vid
[],12669274
[],12674224
[],12674174
[],12673974
[],12674274
[],12674124
[],12673924
[],12674024
[],12674074
[],12673874
[],12673774
[],12673675
[],12672577
[],12673824
[],12673375
[],12673674
[],12673475
[],12673476
[],12672976
[],12673424
[],12673324
[],12673676
[],12672578
[],12673174
[],12673574
[],12673624
[],12673524
[],12673376
[],12673224
[],12672576
[],12673724
[],12672975
[],12673474
[],12673374
[],12673124
[],12672575
[],12673274
[],12672874
[],12672824
[],12673074
[],12672574
[],12672674
[],12672924
[],12673024
[],12672974
[],12672324
[],12672424
[],12672474
[],12672724
[],12672274
[],12672024
[],12672624
[],12672174
[],12672774
[],12672074
[],12671824
[],12671974
[],12671924
[],12672524
[],12672124
[],12672374
[],12672224
[],12671874
[],12671774
[],12671424
[],12671524
[],12669679
[],12671274
[],12671474
[],12671324
[],12670974
[],12671224
[],12671074
[],12671124
[],12670874
[],12670724
[],12669676
[],12670474
[],12671374
[],12670624
[],12671174
[],12669678
[],12670374
[],12670674
[],12670774
[],12670324
[],12671024
[],12670174
[],12670924
[],12669675
[],12670524
[],12670124
[],12669677
[],12670274
[],12670824
[],12669674
[],12669874
[],12669574
[],12670224
[],12670574
[],12669924
[],12670424
[],12669724
[],12669774
[],12669174
[],12669124
[],12669824
[],12670024
[],12669324
[],12670074
[],12669974
[],12669074
[],12669474
[],12669024
[],12668624
[],12668724
[],12668974
[],12669224
[],12669524
[],12668874
[],12669424
[],12669624
[],12668524
[],12669374
[],12668374
[],12668774
[],12668924
[],12668824
[],12668424
[],12668574
[],12668474
[],12668674
[],12668224
[],12668324
[],12668174
[],12668274
[],12668075
[],12668074
[],12666627
[],12667874
[],12667974
[],12668124
[],12666626
[],12666628
[],12666778
[],12664985
[],12667474
[],12665228
[],12667924
[],12664983
[],12668024
[],12665229
[],12664986
[],12665227
[],12664984
[],12666777
[],12667824
[],12667774
[],12667724
[],12666776
[],12667674
[],12666974
[],12667374
[],12667624
[],12667574
[],12667524
[],12666775
[],12666625
[],12667424
[],12666774
[],12667024
[],12667224
[],12667324
[],12664981
[],12667074
[],12666574
[],12667274
[],12667124
[],12666724
[],12666824
[],12664980
[],12666924
[],12667174
[],12666474
[],12666874
[],12666674
[],12666424
[],12664982
[],12666074
[],12666524
[],12666624
[],12663528
[],12665974
[],12666224
[],12666374
[],12666024
[],12665824
[],12665226
[],12666124
[],12666274
[],12666324
[],12666174
[],12665924
[],12665674
[],12665474
[],12665424
[],12665574
[],12665774
[],12664979
[],12664976
[],12665225
[],12665524
[],12664978
[],12665624
[],12664977
[],12665874
[],12665024
[],12665324
[],12665074
[],12664974
[],12665124
[],12665724
[],12664874
[],12665224
[],12665374
[],12664975
[],12664724
[],12665274
[],12664274
[],12664624
[],12664424
[],12665174
[],12664774
[],12664824
[],12664074
[],12664924
[],12664524
[],12664124
[],12664474
[],12664174
[],12664024
[],12663526
[],12663527
[],12664674
[],12664574
[],12663624
[],12664374
[],12664324
[],12663874
[],12663924
[],12663424
[],12663974
[],12664224
[],12663674
[],12663374
[],12663274
[],12663824
[],12663024
[],12663174
[],12663474
[],12662924
[],12663774
[],12663324
[],12663525
[],12663724
[],12662974
[],12663224
[],12663574
[],12663524
[],12663124
[],12663074
[],12662874
[],12660128
[],12662476
[],12660680
[],12662126
[],12660681
[],12661278
[],12662526
[],12662824
[],12662524
[],12662774
[],12661277
[],12662724
[],12662525
[],12662527
[],12661626
[],12662125
[],12662475
[],12662574
[],12662674
[],12662274
[],12662474
[],12662175
[],12660679
[],12662174
[],12662024
[],12662424
[],12662074
[],12662324
[],12662624
[],12660677
[],12660127
[],12661627
[],12661974
[],12662124
[],12661276
[],12662374
[],12661924
[],12661674
[],12661274
[],12660676
[],12662224
[],12661724
[],12661625
[],12661024
[],12660678
[],12661374
[],12661324
[],12661874
[],12661574
[],12661275
[],12661474
[],12661824
[],12661774
[],12661524
[],12660624
[],12661624
[],12660574
[],12660474
[],12660874
[],12661224
[],12661424
[],12661174
[],12660424
[],12660524
[],12660675
[],12660774
[],12661124
[],12660974
[],12660674
[],12661074
[],12660924
[],12660126
[],12660374
[],12659974
[],12659624
[],12660824
[],12659824
[],12660125
[],12659724
[],12659524
[],12660724
[],12659324
[],12659474
[],12659924
[],12660124
[],12660024
[],12660174
[],12660224
[],12660324
[],12660274
[],12659874
[],12660074
[],12659224
[],12659074
[],12659174
[],12658924
[],12659574
[],12659774
[],12659674
[],12658824
[],12659124
[],12659424
[],12659374
[],12658724
[],12658774
[],12658874
[],12658674
[],12659274
[],12658624
[],12659024
[],12658974
[],12658474
[],12658524
[],12658574
[],12658374
[],12658124
[],12658424
[],12658174
[],12658074
[],12658324
[],12658274
[],12658224
[],12658024
[],12657974
[],12657924
[],12657874
[],12657824
[],12657774
[],12657724
[],12657674
[],12657624
[],12657574
[],12657524
[],12657474
[],12657424
[],12657274
[],12657224
